      IND             SHC     g | h         n         m
      246   -6.940000e+01         g        15        11
      247    5.100000e+01         h        15        11
      248    3.670000e+02         g        15        12
      249    3.640000e+01         h        15        12
      250   -2.220000e+01         g        15        13
      251   -4.440000e+01         h        15        13
      252    9.180000e+01         g        15        14
      253   -2.859000e+02         h        15        14
      254   -4.370000e+01         g        15        15
      255    1.351000e+02         h        15        15
      256   -8.092000e+02         g        16         0
      257   -8.889000e+02         g        16         1
      258   -9.328000e+02         h        16         1
      259   -6.040000e+02         g        16         2
      260   -6.081000e+02         h        16         2
      261   -3.391000e+02         g        16         3
      262    5.102000e+02         h        16         3
      263   -3.506000e+02         g        16         4
      264   -5.874000e+02         h        16         4
      265   -5.038000e+02         g        16         5
      266   -3.940000e+01         h        16         5
      267   -2.355000e+02         g        16         6
      268    3.581000e+02         h        16         6
      269    9.000000e+00         g        16         7
      270    2.798000e+02         h        16         7
      271   -4.987000e+02         g        16         8
      272    2.445000e+02         h        16         8
      273   -2.832000e+02         g        16         9
      274    4.873000e+02         h        16         9
      275   -5.090000e+01         g        16        10
      276    3.667000e+02         h        16        10
      277   -5.152000e+02         g        16        11
      278    9.390000e+01         h        16        11
      279   -2.553000e+02         g        16        12
      280    2.828000e+02         h        16        12
      281    1.560000e+01         g        16        13
      282   -2.677000e+02         h        16        13
      283   -2.470000e+01         g        16        14
      284    3.980000e+01         h        16        14
      285   -1.765000e+02         g        16        15
      286   -2.131000e+02         h        16        15
      287    4.920000e+01         g        16        16
      288    3.240000e+01         h        16        16
      289   -1.238700e+03         g        17         0
      290   -1.902000e+02         g        17         1
      291   -2.092000e+02         h        17         1
      292   -1.015000e+02         g        17         2
      293   -1.580000e+01         h        17         2
      294   -5.800000e+01         g        17         3
      295    5.440000e+01         h        17         3
      296    1.000000e+01         g        17         4
      297    3.087000e+02         h        17         4
      298   -5.259000e+02         g        17         5
      299    7.220000e+02         h        17         5
      300    4.684000e+02         g        17         6
      301    2.333000e+02         h        17         6
      302    8.810000e+01         g        17         7
      303   -8.210000e+01         h        17         7
      304   -3.851000e+02         g        17         8
      305    2.215000e+02         h        17         8
      306    7.760000e+01         g        17         9
      307    4.886000e+02         h        17         9
      308    7.570000e+01         g        17        10
      309    2.063000e+02         h        17        10
      310   -1.489000e+02         g        17        11
      311    1.767000e+02         h        17        11
      312    2.018000e+02         g        17        12
      313    3.534000e+02         h        17        12
      314    6.170000e+01         g        17        13
      315    2.048000e+02         h        17        13
      316   -2.436000e+02         g        17        14
      317   -2.950000e+01         h        17        14
      318    1.682000e+02         g        17        15
      319    1.280000e+01         h        17        15
      320   -4.220000e+01         g        17        16
      321   -8.960000e+01         h        17        16
      322    7.300000e+00         g        17        17
      323   -1.666000e+02         h        17        17
      324   -7.960000e+02         g        18         0
      325    4.436000e+02         g        18         1
      326    6.709000e+02         h        18         1
      327    2.669000e+02         g        18         2
      328   -1.761000e+02         h        18         2
      329    3.912000e+02         g        18         3
      330   -3.403000e+02         h        18         3
      331    3.662000e+02         g        18         4
      332    3.700000e+01         h        18         4
      333    1.758000e+02         g        18         5
      334    3.043000e+02         h        18         5
      335    5.125000e+02         g        18         6
      336   -3.488000e+02         h        18         6
      337    1.510000e+02         g        18         7
      338   -2.919000e+02         h        18         7
      339    2.149000e+02         g        18         8
      340    1.656000e+02         h        18         8
      341    2.434000e+02         g        18         9
      342    3.609000e+02         h        18         9
      343    3.375000e+02         g        18        10
      344   -1.190000e+02         h        18        10
      345   -1.020000e+01         g        18        11
      346    1.001000e+02         h        18        11
      347   -3.490000e+01         g        18        12
      348    2.690000e+01         h        18        12
      349    1.612000e+02         g        18        13
      350    1.000000e+00         h        18        13
      351    2.223000e+02         g        18        14
      352   -6.020000e+01         h        18        14
      353   -1.196000e+02         g        18        15
      354    6.650000e+01         h        18        15
      355    2.800000e+01         g        18        16
      356    2.778000e+02         h        18        16
      357    1.326000e+02         g        18        17
      358    2.910000e+01         h        18        17
      359   -1.806000e+02         g        18        18
      360    1.530000e+01         h        18        18
      361   -4.937000e+02         g        19         0
      362    4.867000e+02         g        19         1
      363    8.580000e+01         h        19         1
      364   -6.200000e+01         g        19         2
      365   -4.121000e+02         h        19         2
      366    5.392000e+02         g        19         3
      367   -5.020000e+02         h        19         3
      368    1.874000e+02         g        19         4
      369   -4.251000e+02         h        19         4
      370    1.368000e+02         g        19         5
      371   -2.322000e+02         h        19         5
      372   -9.400000e+00         g        19         6
      373   -4.770000e+02         h        19         6
      374   -5.812000e+02         g        19         7
      375   -4.635000e+02         h        19         7
      376    2.918000e+02         g        19         8
      377    7.360000e+01         h        19         8
      378   -1.981000e+02         g        19         9
      379   -2.283000e+02         h        19         9
      380    9.550000e+01         g        19        10
      381   -9.680000e+01         h        19        10
      382   -3.726000e+02         g        19        11
      383   -2.560000e+02         h        19        11
      384    1.907000e+02         g        19        12
      385   -2.280000e+02         h        19        12
      386   -1.196000e+02         g        19        13
      387    1.193000e+02         h        19        13
      388   -1.190000e+01         g        19        14
      389   -7.690000e+01         h        19        14
      390    7.440000e+01         g        19        15
      391   -3.198000e+02         h        19        15
      392   -3.914000e+02         g        19        16
      393   -2.840000e+02         h        19        16
      394   -3.310000e+01         g        19        17
      395    1.979000e+02         h        19        17
      396   -1.180000e+02         g        19        18
      397   -2.396000e+02         h        19        18
      398   -5.720000e+01         g        19        19
      399    3.026000e+02         h        19        19
      400   -3.199000e+02         g        20         0
      401    1.136000e+02         g        20         1
      402   -2.976000e+02         h        20         1
      403   -2.622000e+02         g        20         2
      404   -1.370000e+01         h        20         2
      405    9.420000e+01         g        20         3
      406   -1.184000e+02         h        20         3
      407   -3.067000e+02         g        20         4
      408    1.056000e+02         h        20         4
      409   -1.392000e+02         g        20         5
      410    1.019000e+02         h        20         5
      411   -2.915000e+02         g        20         6
      412    4.530000e+01         h        20         6
      413   -7.166000e+02         g        20         7
      414   -2.130000e+02         h        20         7
      415    5.550000e+01         g        20         8
      416    3.725000e+02         h        20         8
      417   -2.190000e+02         g        20         9
      418   -3.828000e+02         h        20         9
      419   -1.651000e+02         g        20        10
      420    1.542000e+02         h        20        10
      421   -2.066000e+02         g        20        11
      422   -2.903000e+02         h        20        11
      423   -1.157000e+02         g        20        12
      424    1.710000e+01         h        20        12
      425   -1.175000e+02         g        20        13
      426    6.700000e+00         h        20        13
      427   -5.690000e+01         g        20        14
      428    1.320000e+01         h        20        14
      429   -6.900000e+00         g        20        15
      430   -4.930000e+01         h        20        15
      431    3.140000e+01         g        20        16
      432   -3.220000e+01         h        20        16
      433   -1.469000e+02         g        20        17
      434   -1.528000e+02         h        20        17
      435    4.537000e+02         g        20        18
      436    6.220000e+01         h        20        18
      437   -2.565000e+02         g        20        19
      438    8.500000e+00         h        20        19
      439    4.242000e+02         g        20        20
      440    3.500000e+01         h        20        20
      441   -7.150000e+01         g        21         0
      442   -1.570000e+02         g        21         1
      443   -1.558000e+02         h        21         1
      444   -1.279000e+02         g        21         2
      445    3.123000e+02         h        21         2
      446   -7.390000e+01         g        21         3
      447    2.911000e+02         h        21         3
      448   -9.800000e+01         g        21         4
      449    2.079000e+02         h        21         4
      450    2.221000e+02         g        21         5
      451    1.658000e+02         h        21         5
      452   -2.993000e+02         g        21         6
      453    2.912000e+02         h        21         6
      454   -1.248000e+02         g        21         7
      455    1.988000e+02         h        21         7
      456    1.556000e+02         g        21         8
      457    4.421000e+02         h        21         8
      458    6.100000e+01         g        21         9
      459   -1.040000e+02         h        21         9
      460   -1.375000e+02         g        21        10
      461    2.096000e+02         h        21        10
      462   -5.210000e+01         g        21        11
      463   -4.500000e+01         h        21        11
      464   -1.771000e+02         g        21        12
      465   -1.396000e+02         h        21        12
      466   -5.160000e+01         g        21        13
      467    2.294000e+02         h        21        13
      468    4.430000e+01         g        21        14
      469   -5.980000e+01         h        21        14
      470    3.570000e+01         g        21        15
      471   -3.000000e+01         h        21        15
      472   -3.658000e+02         g        21        16
      473   -1.820000e+02         h        21        16
      474    9.140000e+01         g        21        17
      475    1.621000e+02         h        21        17
      476   -2.006000e+02         g        21        18
      477    1.317000e+02         h        21        18
      478    2.800000e+01         g        21        19
      479   -3.569000e+02         h        21        19
      480   -1.138000e+02         g        21        20
      481    3.795000e+02         h        21        20
      482    1.670000e+01         g        21        21
      483   -3.186000e+02         h        21        21
      484   -4.860000e+01         g        22         0
      485   -1.979000e+02         g        22         1
      486   -5.250000e+01         h        22         1
      487   -1.640000e+01         g        22         2
      488    1.806000e+02         h        22         2
      489    8.400000e+01         g        22         3
      490    1.825000e+02         h        22         3
      491    1.556000e+02         g        22         4
      492   -6.950000e+01         h        22         4
      493    1.949000e+02         g        22         5
      494   -2.450000e+01         h        22         5
      495   -9.160000e+01         g        22         6
      496    9.320000e+01         h        22         6
      497    5.550000e+01         g        22         7
      498    1.881000e+02         h        22         7
      499    1.836000e+02         g        22         8
      500    5.450000e+01         h        22         8
      501    4.310000e+01         g        22         9
      502   -6.850000e+01         h        22         9
      503   -1.640000e+01         g        22        10
      504    9.380000e+01         h        22        10
      505   -1.496000e+02         g        22        11
      506   -8.730000e+01         h        22        11
      507    3.310000e+01         g        22        12
      508   -1.753000e+02         h        22        12
      509   -3.940000e+01         g        22        13
      510    2.024000e+02         h        22        13
      511    1.234000e+02         g        22        14
      512   -4.980000e+01         h        22        14
      513   -6.220000e+01         g        22        15
      514   -1.292000e+02         h        22        15
      515   -7.490000e+01         g        22        16
      516   -2.411000e+02         h        22        16
      517   -2.800000e+01         g        22        17
      518   -6.360000e+01         h        22        17
      519    1.421000e+02         g        22        18
      520    6.840000e+01         h        22        18
      521    1.472000e+02         g        22        19
      522    1.681000e+02         h        22        19
      523   -3.075000e+02         g        22        20
      524   -1.600000e+02         h        22        20
      525    2.282000e+02         g        22        21
      526    6.260000e+01         h        22        21
      527   -3.654000e+02         g        22        22
      528   -1.175000e+02         h        22        22
      529   -5.370000e+01         g        23         0
      530   -1.207000e+02         g        23         1
      531    5.280000e+01         h        23         1
      532    2.300000e+01         g        23         2
      533   -2.100000e+00         h        23         2
      534    5.390000e+01         g        23         3
      535   -5.190000e+01         h        23         3
      536   -2.580000e+01         g        23         4
      537   -9.290000e+01         h        23         4
      538   -1.855000e+02         g        23         5
      539   -7.900000e+00         h        23         5
      540    6.520000e+01         g        23         6
      541    2.110000e+01         h        23         6
      542   -4.570000e+01         g        23         7
      543    1.640000e+01         h        23         7
      544   -2.230000e+01         g        23         8
      545   -5.130000e+01         h        23         8
      546   -3.450000e+01         g        23         9
      547   -1.358000e+02         h        23         9
      548    1.040000e+01         g        23        10
      549    5.610000e+01         h        23        10
      550   -1.589000e+02         g        23        11
      551   -1.726000e+02         h        23        11
