      IND             SHC     g | h         n         m
      355    3.022694e+02         g        18        16
      356    3.060988e+03         h        18        16
      357    5.669129e+02         g        18        17
      358    3.815545e+03         h        18        17
      359   -2.378866e+03         g        18        18
      360   -4.131763e+02         h        18        18
      361    3.960196e+04         g        19         0
      362    5.907997e+04         g        19         1
      363    8.864625e+03         h        19         1
      364    1.222687e+04         g        19         2
      365   -2.083568e+04         h        19         2
      366    1.648688e+04         g        19         3
      367   -4.834160e+04         h        19         3
      368    1.113268e+04         g        19         4
      369   -2.048851e+04         h        19         4
      370    1.872466e+03         g        19         5
      371   -1.991384e+04         h        19         5
      372    4.083408e+03         g        19         6
      373   -4.607476e+04         h        19         6
      374   -2.325920e+04         g        19         7
      375   -3.118037e+04         h        19         7
      376   -3.674203e+03         g        19         8
      377   -5.885662e+03         h        19         8
      378    5.539743e+03         g        19         9
      379   -1.629225e+04         h        19         9
      380   -1.031350e+04         g        19        10
      381   -2.761170e+04         h        19        10
      382   -3.702943e+03         g        19        11
      383   -1.147526e+04         h        19        11
      384    1.815646e+03         g        19        12
      385   -9.738625e+03         h        19        12
      386   -2.259467e+03         g        19        13
      387   -7.947276e+03         h        19        13
      388    1.985189e+03         g        19        14
      389   -3.755163e+03         h        19        14
      390    1.018457e+03         g        19        15
      391   -6.347758e+03         h        19        15
      392    1.946547e+03         g        19        16
      393   -1.000786e+03         h        19        16
      394    2.172552e+03         g        19        17
      395   -5.504260e+01         h        19        17
      396    2.735801e+03         g        19        18
      397    6.330178e+02         h        19        18
      398   -8.840687e+02         g        19        19
      399    1.814930e+03         h        19        19
      400    2.966990e+04         g        20         0
      401    9.432094e+03         g        20         1
      402   -1.754501e+04         h        20         1
      403   -1.761235e+04         g        20         2
      404   -9.513529e+03         h        20         2
      405   -1.292352e+04         g        20         3
      406   -1.101858e+04         h        20         3
      407   -1.595266e+04         g        20         4
      408    4.680507e+03         h        20         4
      409   -4.427112e+03         g        20         5
      410   -6.452730e+03         h        20         5
      411   -2.836593e+04         g        20         6
      412   -1.063999e+04         h        20         6
      413   -3.903905e+04         g        20         7
      414    4.576668e+03         h        20         7
      415   -1.451871e+03         g        20         8
      416    1.407326e+04         h        20         8
      417   -1.148767e+04         g        20         9
      418   -4.209448e+03         h        20         9
      419   -2.683218e+04         g        20        10
      420   -2.005295e+03         h        20        10
      421   -1.111358e+04         g        20        11
      422    5.792610e+03         h        20        11
      423   -7.966165e+03         g        20        12
      424   -1.595968e+03         h        20        12
      425   -1.025176e+04         g        20        13
      426    4.941926e+02         h        20        13
      427   -6.297460e+03         g        20        14
      428    1.976427e+03         h        20        14
      429   -3.470907e+03         g        20        15
      430   -4.863327e+03         h        20        15
      431   -4.483698e+03         g        20        16
      432   -1.893787e+03         h        20        16
      433   -4.028451e+02         g        20        17
      434   -1.908687e+03         h        20        17
      435    2.656424e+02         g        20        18
