# 
# ****** Theory ******
# Vector Potential-based
# Using 3 NNs
# ****** Obs Data Info ******
# PJ data: orbit 1-50
# cutRj: 4.0
# ****** Neural Network Info ******
# NN Size and Shape: 6*[40];
# NN Activation function: swish;
# NN Optimizer: Adam;
# Dynamic Weights: 1;
# RAD parameter: k=1, c=0, n0=3000, dn=600;
# Epochs: 12000;
# Batch size: 10000;
# Seed: 67890;
# Epoch      Loss     TLoss   LObs_bx   LObs_by   LObs_bz LCol_curlBx LCol_curlBy LCol_curlBz      wObs        LR
0000052 5.108e+01 1.471e+01 1.393e-01 1.723e-01 2.515e-01 6.369e+00 5.021e+00 2.754e+00 6.560e+01 1.977e-03
0000053 6.015e+01 2.282e+01 1.499e-01 1.694e-01 2.620e-01 9.348e+00 7.273e+00 5.615e+00 6.523e+01 1.976e-03
0000054 5.170e+01 1.514e+01 1.317e-01 1.553e-01 2.450e-01 6.551e+00 5.481e+00 2.573e+00 6.972e+01 1.976e-03
0000055 5.068e+01 1.473e+01 1.364e-01 1.585e-01 2.418e-01 6.353e+00 5.041e+00 2.801e+00 6.798e+01 1.976e-03
0000056 4.720e+01 1.398e+01 1.260e-01 1.617e-01 2.352e-01 5.998e+00 4.915e+00 2.542e+00 6.454e+01 1.975e-03
0000057 4.390e+01 1.250e+01 1.301e-01 1.568e-01 2.321e-01 5.124e+00 4.410e+00 2.451e+00 6.149e+01 1.975e-03
0000058 4.316e+01 1.310e+01 1.273e-01 1.574e-01 2.309e-01 5.146e+00 4.484e+00 2.951e+00 5.930e+01 1.974e-03
0000059 4.316e+01 1.207e+01 1.235e-01 1.536e-01 2.252e-01 5.054e+00 4.302e+00 2.209e+00 6.290e+01 1.974e-03
0000060 4.361e+01 1.421e+01 1.235e-01 1.504e-01 2.216e-01 6.172e+00 4.719e+00 2.820e+00 6.033e+01 1.973e-03
0000061 4.824e+01 1.617e+01 1.322e-01 1.532e-01 2.235e-01 6.689e+00 5.089e+00 3.885e+00 6.400e+01 1.973e-03
0000062 4.263e+01 1.251e+01 1.237e-01 1.453e-01 2.116e-01 4.804e+00 4.406e+00 2.816e+00 6.369e+01 1.973e-03
0000063 4.753e+01 1.784e+01 1.180e-01 1.447e-01 2.148e-01 6.592e+00 6.184e+00 4.584e+00 6.317e+01 1.972e-03
0000064 4.509e+01 1.482e+01 1.137e-01 1.363e-01 2.041e-01 6.756e+00 4.985e+00 2.627e+00 6.767e+01 1.972e-03
0000065 4.349e+01 1.294e+01 1.151e-01 1.487e-01 2.018e-01 5.133e+00 4.379e+00 2.958e+00 6.661e+01 1.971e-03
0000066 4.010e+01 1.169e+01 1.135e-01 1.310e-01 1.968e-01 5.078e+00 4.087e+00 2.084e+00 6.538e+01 1.971e-03
0000067 3.946e+01 1.175e+01 1.186e-01 1.357e-01 1.913e-01 4.935e+00 4.021e+00 2.353e+00 6.318e+01 1.970e-03
0000068 3.696e+01 1.112e+01 1.105e-01 1.281e-01 1.953e-01 4.693e+00 3.791e+00 2.201e+00 6.054e+01 1.970e-03
0000069 3.677e+01 1.070e+01 1.072e-01 1.242e-01 1.899e-01 4.456e+00 3.883e+00 1.941e+00 6.287e+01 1.969e-03
0000070 3.837e+01 1.311e+01 1.125e-01 1.294e-01 1.866e-01 4.838e+00 4.614e+00 3.227e+00 5.995e+01 1.969e-03
0000071 3.460e+01 9.996e+00 1.070e-01 1.250e-01 1.825e-01 3.977e+00 3.647e+00 1.958e+00 6.037e+01 1.969e-03
0000072 3.590e+01 1.169e+01 1.052e-01 1.290e-01 1.867e-01 4.926e+00 3.997e+00 2.346e+00 5.851e+01 1.968e-03
0000073 3.860e+01 1.424e+01 1.058e-01 1.308e-01 1.815e-01 5.735e+00 4.449e+00 3.640e+00 5.926e+01 1.968e-03
0000074 3.677e+01 1.103e+01 9.692e-02 1.198e-01 1.699e-01 4.607e+00 4.022e+00 2.018e+00 6.757e+01 1.967e-03
0000075 3.450e+01 1.045e+01 9.743e-02 1.173e-01 1.659e-01 4.475e+00 3.677e+00 1.919e+00 6.416e+01 1.967e-03
0000076 3.831e+01 1.344e+01 1.074e-01 1.185e-01 1.735e-01 4.988e+00 4.708e+00 3.348e+00 6.325e+01 1.966e-03
0000077 3.657e+01 1.226e+01 9.617e-02 1.129e-01 1.746e-01 5.024e+00 4.384e+00 2.468e+00 6.437e+01 1.966e-03
0000078 3.646e+01 1.288e+01 1.012e-01 1.168e-01 1.701e-01 5.464e+00 4.334e+00 2.698e+00 6.176e+01 1.965e-03
0000079 3.302e+01 9.874e+00 9.330e-02 1.131e-01 1.609e-01 4.087e+00 3.665e+00 1.754e+00 6.402e+01 1.965e-03
0000080 3.478e+01 1.216e+01 9.853e-02 1.141e-01 1.676e-01 4.700e+00 4.180e+00 2.895e+00 6.049e+01 1.965e-03
0000081 3.396e+01 1.105e+01 9.745e-02 1.143e-01 1.580e-01 4.692e+00 3.754e+00 2.236e+00 6.294e+01 1.964e-03
0000082 3.484e+01 1.170e+01 9.042e-02 1.096e-01 1.526e-01 4.872e+00 4.001e+00 2.480e+00 6.664e+01 1.964e-03
0000083 4.329e+01 1.851e+01 9.160e-02 1.031e-01 1.548e-01 7.243e+00 5.349e+00 5.571e+00 7.191e+01 1.963e-03
0000084 3.758e+01 1.275e+01 8.554e-02 1.024e-01 1.478e-01 5.213e+00 4.286e+00 2.911e+00 7.497e+01 1.963e-03
0000085 3.897e+01 1.384e+01 8.759e-02 9.524e-02 1.495e-01 5.893e+00 4.605e+00 3.005e+00 7.664e+01 1.962e-03
0000086 3.658e+01 1.257e+01 8.265e-02 9.583e-02 1.473e-01 5.026e+00 4.379e+00 2.835e+00 7.470e+01 1.962e-03
0000087 3.470e+01 1.172e+01 8.258e-02 9.322e-02 1.408e-01 4.817e+00 4.171e+00 2.411e+00 7.360e+01 1.962e-03
0000088 4.839e+01 2.177e+01 9.778e-02 1.121e-01 1.580e-01 7.706e+00 6.247e+00 7.452e+00 7.336e+01 1.961e-03
0000089 3.449e+01 1.230e+01 8.001e-02 9.260e-02 1.344e-01 5.193e+00 3.848e+00 2.951e+00 7.329e+01 1.961e-03
0000090 3.235e+01 1.036e+01 8.190e-02 8.961e-02 1.365e-01 4.213e+00 3.694e+00 2.144e+00 7.241e+01 1.960e-03
0000091 3.100e+01 1.014e+01 7.772e-02 8.635e-02 1.376e-01 4.134e+00 3.694e+00 2.012e+00 7.015e+01 1.960e-03
0000092 3.235e+01 1.139e+01 8.113e-02 8.900e-02 1.334e-01 4.576e+00 3.969e+00 2.545e+00 7.005e+01 1.959e-03
0000093 3.081e+01 1.067e+01 7.555e-02 8.894e-02 1.326e-01 4.464e+00 3.998e+00 1.909e+00 6.879e+01 1.959e-03
0000094 3.475e+01 1.331e+01 8.507e-02 9.446e-02 1.340e-01 5.551e+00 4.430e+00 3.013e+00 6.939e+01 1.958e-03
0000095 3.326e+01 1.298e+01 7.730e-02 9.343e-02 1.351e-01 5.269e+00 4.416e+00 2.991e+00 6.730e+01 1.958e-03
