      IND             SHC     g | h         n         m
      654    3.679852e+00         g        25        15
      655    2.924791e+01         h        25        15
      656    1.293281e+00         g        25        16
      657    1.083922e+01         h        25        16
      658   -4.623601e+00         g        25        17
      659    4.733501e+00         h        25        17
      660   -2.011462e+00         g        25        18
      661    4.948341e+00         h        25        18
      662    3.640505e+00         g        25        19
      663    2.273650e+00         h        25        19
      664    1.853767e-01         g        25        20
      665   -2.609291e+00         h        25        20
      666   -1.387384e+00         g        25        21
      667   -3.416039e+00         h        25        21
      668   -2.381351e+00         g        25        22
      669   -2.334353e+00         h        25        22
      670    2.748337e+00         g        25        23
      671   -1.260104e+00         h        25        23
      672    7.882496e-01         g        25        24
      673   -2.181492e+00         h        25        24
      674    5.707776e+00         g        25        25
      675   -2.099307e+00         h        25        25
      676    5.085785e+01         g        26         0
      677    4.212078e+01         g        26         1
      678    4.994116e+01         h        26         1
      679    2.911871e+01         g        26         2
      680   -4.626751e+01         h        26         2
      681    8.819173e+00         g        26         3
      682   -2.119534e+01         h        26         3
      683    3.950566e+01         g        26         4
      684    1.192220e+01         h        26         4
      685    2.169617e+01         g        26         5
      686   -2.977380e+00         h        26         5
      687    3.575935e+01         g        26         6
      688   -3.120284e+01         h        26         6
      689    1.457032e+01         g        26         7
      690   -1.184323e+01         h        26         7
      691    1.921781e+01         g        26         8
      692    2.452268e+01         h        26         8
      693    4.145193e+01         g        26         9
      694    1.333194e+01         h        26         9
      695    3.991637e+01         g        26        10
      696   -2.803696e+01         h        26        10
      697    2.217820e+01         g        26        11
      698    9.025000e+00         h        26        11
      699    2.550184e+01         g        26        12
      700    6.403028e+00         h        26        12
      701    2.199599e+01         g        26        13
      702   -1.328750e+00         h        26        13
      703    1.710096e+01         g        26        14
      704   -3.187869e+00         h        26        14
      705    1.798412e+01         g        26        15
      706    8.798375e+00         h        26        15
      707    1.418015e+01         g        26        16
      708    2.361706e+00         h        26        16
      709    5.430087e+00         g        26        17
      710    1.033341e+00         h        26        17
      711    5.015141e+00         g        26        18
      712    9.230876e-01         h        26        18
      713    4.465348e+00         g        26        19
      714    2.193707e+00         h        26        19
      715    2.657042e+00         g        26        20
      716    3.770537e-01         h        26        20
      717   -1.650715e+00         g        26        21
      718   -1.275034e+00         h        26        21
      719   -4.044335e+00         g        26        22
      720   -3.302770e-01         h        26        22
      721   -2.197636e+00         g        26        23
      722    3.881517e-01         h        26        23
      723   -1.038124e+00         g        26        24
      724   -1.930892e+00         h        26        24
      725   -1.389997e+00         g        26        25
      726   -1.007272e+00         h        26        25
      727   -7.362662e-01         g        26        26
      728   -3.995598e+00         h        26        26
      729    3.132303e+01         g        27         0
      730   -3.671803e-01         g        27         1
      731   -3.699361e+01         h        27         1
      732    1.463452e+01         g        27         2
      733   -2.329271e+01         h        27         2
      734   -3.655588e+00         g        27         3
      735   -3.099504e+01         h        27         3
      736    1.846571e+01         g        27         4
      737   -2.387092e+01         h        27         4
      738    6.339824e+00         g        27         5
      739   -3.489224e+01         h        27         5
      740   -1.392765e+01         g        27         6
      741   -4.027673e+01         h        27         6
      742   -1.884420e+01         g        27         7
      743   -3.143724e+01         h        27         7
      744    1.615846e+01         g        27         8
      745   -1.707181e+00         h        27         8
      746    4.394630e+00         g        27         9
      747   -3.093490e+01         h        27         9
      748   -5.900734e+00         g        27        10
      749   -3.756441e+01         h        27        10
      750   -1.177035e+00         g        27        11
      751   -1.601292e+01         h        27        11
      752    9.306104e+00         g        27        12
      753   -1.623639e+01         h        27        12
      754   -6.179349e+00         g        27        13
      755   -1.840284e+01         h        27        13
      756    4.044397e+00         g        27        14
      757   -1.363401e+01         h        27        14
      758    5.460743e+00         g        27        15
      759   -1.265157e+01         h        27        15
      760    3.307004e+00         g        27        16
      761   -7.358336e+00         h        27        16
      762    1.493755e+00         g        27        17
