      IND             SHC     g | h         n         m
      296    1.146047e+03         g        17         4
      297    6.644982e+01         h        17         4
      298   -2.895678e+03         g        17         5
      299    3.521603e+03         h        17         5
      300    3.088013e+03         g        17         6
      301    2.464334e+03         h        17         6
      302    2.270022e+03         g        17         7
      303    6.133565e+02         h        17         7
      304   -1.974009e+03         g        17         8
      305    2.554330e+03         h        17         8
      306    9.079436e+02         g        17         9
      307    3.196042e+03         h        17         9
      308    1.638886e+03         g        17        10
      309    1.195621e+03         h        17        10
      310    6.625281e+01         g        17        11
      311    7.322744e+02         h        17        11
      312   -1.909521e+01         g        17        12
      313    2.001078e+03         h        17        12
      314    1.068673e+02         g        17        13
      315    3.706287e+02         h        17        13
      316   -6.854810e+02         g        17        14
      317    3.637743e+02         h        17        14
      318   -4.550329e+02         g        17        15
      319    1.097087e+02         h        17        15
      320   -5.362805e+02         g        17        16
      321    2.306166e+02         h        17        16
      322   -4.196570e+01         g        17        17
      323   -3.246891e+02         h        17        17
      324   -9.967641e+02         g        18         0
      325    6.127891e+03         g        18         1
      326    4.054925e+03         h        18         1
      327    2.422912e+03         g        18         2
      328   -3.512168e+02         h        18         2
      329    3.288129e+03         g        18         3
      330   -2.841862e+03         h        18         3
      331    3.102883e+03         g        18         4
      332   -9.728385e+02         h        18         4
      333    6.521783e+02         g        18         5
      334    5.738014e+02         h        18         5
      335    4.088352e+03         g        18         6
      336   -2.195604e+03         h        18         6
      337    1.801787e+03         g        18         7
      338   -2.378802e+03         h        18         7
      339    2.009053e+02         g        18         8
      340    4.880049e+02         h        18         8
      341    2.710143e+03         g        18         9
      342    4.339063e+02         h        18         9
      343    1.691713e+03         g        18        10
      344   -1.516363e+03         h        18        10
      345    1.142747e+03         g        18        11
      346   -3.793904e+02         h        18        11
      347    1.031858e+03         g        18        12
      348    3.320332e+02         h        18        12
      349    7.546338e+02         g        18        13
      350    1.061939e+02         h        18        13
      351    3.834190e+02         g        18        14
      352    8.135144e+01         h        18        14
      353    1.570347e+02         g        18        15
      354    2.205374e+02         h        18        15
      355    2.107085e+01         g        18        16
      356    2.816021e+02         h        18        16
      357    5.747168e+01         g        18        17
      358    3.642748e+02         h        18        17
      359   -2.377474e+02         g        18        18
      360   -3.847646e+01         h        18        18
      361    3.342886e+03         g        19         0
      362    4.980805e+03         g        19         1
      363    7.637645e+02         h        19         1
      364    1.020258e+03         g        19         2
      365   -1.758179e+03         h        19         2
      366    1.395980e+03         g        19         3
      367   -4.085923e+03         h        19         3
      368    9.404327e+02         g        19         4
      369   -1.747012e+03         h        19         4
      370    1.479314e+02         g        19         5
      371   -1.694646e+03         h        19         5
      372    3.402964e+02         g        19         6
      373   -3.898075e+03         h        19         6
      374   -1.977964e+03         g        19         7
      375   -2.637387e+03         h        19         7
      376   -2.991408e+02         g        19         8
      377   -4.878475e+02         h        19         8
      378    4.550224e+02         g        19         9
      379   -1.373627e+03         h        19         9
      380   -8.434218e+02         g        19        10
      381   -2.330004e+03         h        19        10
      382   -3.188356e+02         g        19        11
      383   -9.790726e+02         h        19        11
      384    1.587278e+02         g        19        12
      385   -8.285921e+02         h        19        12
      386   -1.882861e+02         g        19        13
      387   -6.645465e+02         h        19        13
      388    1.814308e+02         g        19        14
      389   -3.340133e+02         h        19        14
      390    6.690439e+01         g        19        15
      391   -5.480504e+02         h        19        15
      392    1.623881e+02         g        19        16
      393   -8.510324e+01         h        19        16
      394    1.847158e+02         g        19        17
      395   -4.547847e+00         h        19        17
      396    2.329830e+02         g        19        18
      397    5.454728e+01         h        19        18
      398   -8.365892e+01         g        19        19
      399    1.644831e+02         h        19        19
      400    2.246298e+03         g        20         0
      401    7.032492e+02         g        20         1
      402   -1.317811e+03         h        20         1
      403   -1.318708e+03         g        20         2
      404   -7.039260e+02         h        20         2
      405   -9.692348e+02         g        20         3
      406   -8.335291e+02         h        20         3
      407   -1.202025e+03         g        20         4
      408    3.576104e+02         h        20         4
      409   -3.337386e+02         g        20         5
      410   -4.926798e+02         h        20         5
      411   -2.148580e+03         g        20         6
      412   -7.990646e+02         h        20         6
      413   -2.933662e+03         g        20         7
      414    3.430712e+02         h        20         7
      415   -1.021058e+02         g        20         8
      416    1.069265e+03         h        20         8
      417   -8.650636e+02         g        20         9
      418   -3.301570e+02         h        20         9
      419   -2.009310e+03         g        20        10
      420   -1.402683e+02         h        20        10
      421   -8.396758e+02         g        20        11
      422    4.126119e+02         h        20        11
      423   -6.083613e+02         g        20        12
      424   -1.178822e+02         h        20        12
      425   -7.695858e+02         g        20        13
      426    3.107353e+01         h        20        13
      427   -4.679232e+02         g        20        14
      428    1.414773e+02         h        20        14
      429   -2.712301e+02         g        20        15
      430   -3.837855e+02         h        20        15
      431   -3.384674e+02         g        20        16
      432   -1.377377e+02         h        20        16
      433   -2.935211e+01         g        20        17
      434   -1.451897e+02         h        20        17
      435    2.097070e+01         g        20        18
      436   -7.190277e+01         h        20        18
      437    8.691630e+01         g        20        19
      438   -1.231306e+02         h        20        19
      439    1.014221e+02         g        20        20
      440    8.730076e+01         h        20        20
      441    2.352772e+02         g        21         0
      442   -1.904970e+03         g        21         1
      443   -8.219193e+02         h        21         1
      444   -8.097147e+02         g        21         2
      445    1.174744e+03         h        21         2
      446   -6.665685e+02         g        21         3
      447    2.282019e+03         h        21         3
      448   -5.438805e+02         g        21         4
      449    1.509175e+03         h        21         4
      450    1.129829e+03         g        21         5
      451    8.628661e+02         h        21         5
      452   -1.070344e+03         g        21         6
      453    1.471487e+03         h        21         6
      454   -3.191538e+02         g        21         7
      455    1.897456e+03         h        21         7
      456    1.493918e+03         g        21         8
      457    1.130372e+03         h        21         8
      458    1.037468e+02         g        21         9
      459    3.013463e+02         h        21         9
      460   -5.128195e+02         g        21        10
      461    1.098709e+03         h        21        10
      462    3.706926e+02         g        21        11
      463    1.041430e+03         h        21        11
      464    1.496061e+02         g        21        12
      465    2.457525e+02         h        21        12
      466   -8.317131e+01         g        21        13
      467    6.792507e+02         h        21        13
      468   -3.576062e+01         g        21        14
      469    4.871812e+02         h        21        14
      470   -9.371606e+01         g        21        15
      471    1.867185e+02         h        21        15
      472   -2.402526e+02         g        21        16
      473    1.141181e+02         h        21        16
      474   -1.328625e+02         g        21        17
      475    1.479720e+02         h        21        17
      476   -8.417143e+01         g        21        18
      477    5.009529e+01         h        21        18
      478   -2.615136e+01         g        21        19
      479   -1.448216e+01         h        21        19
      480   -5.152770e+01         g        21        20
      481   -8.461705e+01         h        21        20
      482    7.374250e+01         g        21        21
      483   -5.314696e+01         h        21        21
      484   -2.540978e+02         g        22         0
      485   -1.833104e+03         g        22         1
      486   -5.694545e+02         h        22         1
      487    5.543268e+02         g        22         2
      488    1.447381e+03         h        22         2
      489    2.857270e+02         g        22         3
      490    1.901888e+03         h        22         3
      491    5.717709e+02         g        22         4
      492    2.228232e+02         h        22         4
      493    1.414634e+03         g        22         5
      494    2.879866e+02         h        22         5
      495    2.979126e+02         g        22         6
      496    8.019121e+02         h        22         6
      497    1.298300e+03         g        22         7
      498    6.755372e+02         h        22         7
      499    1.564008e+03         g        22         8
      500   -6.439892e+02         h        22         8
      501    4.004062e+02         g        22         9
      502   -5.392522e+02         h        22         9
      503    5.804766e+02         g        22        10
      504    3.588685e+02         h        22        10
      505    7.782471e+02         g        22        11
      506   -7.498939e+01         h        22        11
      507    5.271721e+02         g        22        12
      508   -4.068380e+02         h        22        12
      509    3.848280e+02         g        22        13
      510    1.140904e+02         h        22        13
      511    4.255621e+02         g        22        14
      512    3.823187e+01         h        22        14
      513    1.518968e+02         g        22        15
      514    2.998371e+01         h        22        15
      515    1.466505e+02         g        22        16
      516    7.415469e+01         h        22        16
      517    5.211395e+01         g        22        17
      518    8.873038e+01         h        22        17
      519    8.418021e+01         g        22        18
      520    1.511093e+02         h        22        18
      521    3.665007e+01         g        22        19
      522    6.652232e+01         h        22        19
      523   -1.231144e+01         g        22        20
      524    1.373607e+01         h        22        20
      525   -7.293192e+01         g        22        21
      526    9.328229e+00         h        22        21
      527   -1.758083e+01         g        22        22
      528   -5.494493e+01         h        22        22
      529   -4.920077e+02         g        23         0
      530   -7.505259e+02         g        23         1
      531   -4.597016e+02         h        23         1
      532    3.947342e+02         g        23         2
      533    6.093228e+02         h        23         2
      534    1.632110e+02         g        23         3
      535    1.031592e+02         h        23         3
      536    2.133518e+02         g        23         4
      537   -7.083845e+02         h        23         4
      538   -9.538936e+01         g        23         5
      539   -3.695415e+02         h        23         5
      540    1.456314e+02         g        23         6
      541   -4.695493e+01         h        23         6
      542    6.296193e+02         g        23         7
      543   -4.133939e+02         h        23         7
      544   -1.500045e+02         g        23         8
      545   -1.221776e+03         h        23         8
      546   -4.776029e+02         g        23         9
      547   -6.420777e+02         h        23         9
      548    1.408210e+02         g        23        10
      549   -9.097819e+01         h        23        10
      550   -8.442774e+01         g        23        11
      551   -6.852364e+02         h        23        11
      552   -2.129185e+02         g        23        12
      553   -5.042909e+02         h        23        12
      554    1.558876e+01         g        23        13
      555   -2.991614e+02         h        23        13
      556    4.521563e+01         g        23        14
      557   -3.066170e+02         h        23        14
      558   -5.280252e+01         g        23        15
      559   -2.028334e+02         h        23        15
      560    5.696132e+01         g        23        16
      561   -1.124958e+02         h        23        16
      562    6.948680e+01         g        23        17
      563   -1.515127e+02         h        23        17
      564    6.976628e+01         g        23        18
      565    1.064311e+01         h        23        18
      566    1.264424e+02         g        23        19
      567   -2.375961e+01         h        23        19
      568    4.511033e+01         g        23        20
      569   -9.205255e+00         h        23        20
      570   -5.744191e-01         g        23        21
      571    6.959608e+00         h        23        21
      572   -1.038994e+01         g        23        22
      573    5.300976e+01         h        23        22
      574   -3.978658e+01         g        23        23
      575    3.031216e+00         h        23        23
      576   -5.686285e+02         g        24         0
      577    1.517143e+02         g        24         1
      578    4.190788e+02         h        24         1
      579   -1.642390e+02         g        24         2
      580   -9.807748e+01         h        24         2
      581   -1.440502e+02         g        24         3
      582   -5.879983e+02         h        24         3
      583   -3.729608e+02         g        24         4
      584   -2.004059e+02         h        24         4
      585   -9.301960e+02         g        24         5
      586   -4.512824e+01         h        24         5
      587   -9.936502e+01         g        24         6
      588    9.783668e+01         h        24         6
      589   -8.515137e+01         g        24         7
      590   -1.368450e+02         h        24         7
      591   -1.050455e+03         g        24         8
      592   -2.289285e+02         h        24         8
      593   -6.084887e+02         g        24         9
      594    3.290049e+02         h        24         9
      595   -1.059063e+02         g        24        10
      596    2.908536e+02         h        24        10
      597   -4.660777e+02         g        24        11
      598   -8.424171e+01         h        24        11
      599   -5.179553e+02         g        24        12
      600    1.996647e+02         h        24        12
