      IND             SHC     g | h         n         m
      370    7.633352e-01         g        19         5
      371   -2.101818e+02         h        19         5
      372    6.708844e+01         g        19         6
      373   -4.559033e+02         h        19         6
      374   -2.916752e+02         g        19         7
      375   -3.640903e+02         h        19         7
      376    8.283689e+01         g        19         8
      377   -5.591236e+01         h        19         8
      378   -2.726134e+01         g        19         9
      379   -1.850432e+02         h        19         9
      380    2.034901e+01         g        19        10
      381   -2.718757e+02         h        19        10
      382   -5.531953e+01         g        19        11
      383   -1.259328e+02         h        19        11
      384    6.306336e+01         g        19        12
      385   -1.097772e+02         h        19        12
      386   -2.862621e+01         g        19        13
      387   -7.991024e+01         h        19        13
      388    6.188088e+01         g        19        14
      389   -9.980269e+01         h        19        14
      390   -1.185512e+01         g        19        15
      391   -9.824303e+01         h        19        15
      392    7.794677e+00         g        19        16
      393   -5.057454e+01         h        19        16
      394   -2.491731e+01         g        19        17
      395    1.026273e+01         h        19        17
      396    3.128221e+01         g        19        18
      397    4.278483e+00         h        19        18
      398   -1.837457e+01         g        19        19
      399    4.457047e+01         h        19        19
      400    2.075983e+01         g        20         0
      401    1.134261e+02         g        20         1
      402   -1.404512e+02         h        20         1
      403   -9.851558e+01         g        20         2
      404   -1.372743e+02         h        20         2
      405   -1.471174e+02         g        20         3
      406    3.167121e+01         h        20         3
      407   -9.586577e+01         g        20         4
      408   -2.197161e+01         h        20         4
      409   -5.024934e+01         g        20         5
      410   -8.755645e+01         h        20         5
      411   -2.605433e+02         g        20         6
      412   -7.265283e+01         h        20         6
      413   -3.737656e+02         g        20         7
      414   -4.220191e+01         h        20         7
      415    2.611276e+01         g        20         8
      416    1.318788e+02         h        20         8
      417   -1.221270e+02         g        20         9
      418   -1.719926e+02         h        20         9
      419   -2.063328e+02         g        20        10
      420    1.464377e+00         h        20        10
      421   -6.159847e+01         g        20        11
      422   -4.889064e+01         h        20        11
      423   -7.528394e+01         g        20        12
      424   -5.719627e+01         h        20        12
      425   -8.928519e+01         g        20        13
      426   -2.189790e+01         h        20        13
      427   -4.015448e+01         g        20        14
      428   -3.159993e+01         h        20        14
      429   -4.552387e+01         g        20        15
      430   -7.947321e+01         h        20        15
      431   -5.911618e+01         g        20        16
      432   -2.186650e+01         h        20        16
      433   -3.340298e+01         g        20        17
      434   -7.701784e+00         h        20        17
      435    2.241416e+00         g        20        18
      436    1.595188e+01         h        20        18
      437    3.659249e+00         g        20        19
      438   -1.733374e+01         h        20        19
      439    2.986133e+01         g        20        20
      440    1.678379e+01         h        20        20
      441   -1.373671e+02         g        21         0
      442   -1.292284e+02         g        21         1
      443   -1.521466e+02         h        21         1
      444   -6.984495e+01         g        21         2
      445    1.377852e+02         h        21         2
      446   -8.782756e+01         g        21         3
      447    3.290832e+02         h        21         3
      448   -5.546674e+01         g        21         4
      449    1.279896e+02         h        21         4
      450    1.002642e+02         g        21         5
      451    1.040121e+02         h        21         5
      452   -1.541966e+02         g        21         6
      453    1.755194e+02         h        21         6
      454   -5.033075e+01         g        21         7
      455    1.876942e+02         h        21         7
      456    1.095206e+02         g        21         8
      457    1.192701e+02         h        21         8
      458    8.204725e+00         g        21         9
      459   -4.476427e+01         h        21         9
      460   -1.291730e+02         g        21        10
      461    1.230327e+02         h        21        10
      462    5.435333e+01         g        21        11
      463    5.685725e+01         h        21        11
      464   -4.110468e+01         g        21        12
      465   -3.122947e+01         h        21        12
      466   -3.431148e+01         g        21        13
      467    7.343998e+01         h        21        13
